Name,Address,Price,Died
Tamira,"1027 State St, Santa Barbara",< $10,2020-01
Due Lune Ristorante and Bar,"1 State St, Santa Barbara",,2020-01
Sup and Jus,7060 Hollister Ave. Goleta,,2020-01
Khao Kaeng,"1187 Coast Village Rd, Montecito",,2019-12
Bear and Star,"2860 Grand Ave, Los Olivos",,2019-12
Wake Cup,"901 Embarcadero del Mar, Isla Vista",,2019-11
Goodland Market and Kitchen,"231 S. Magnolia Ave, Goleta",,2019-11
Bar 29,"1134 Chapala St, Santa Barbara",,2019-10
Yume Sushi,"428 Chapala St, Santa Barbara",$10 - $20,2019-10
Ca Dario Pizzeria,"29 E. Victoria St, Santa Barbara",$10 - $20,2019-10
Soul Cal Smokehouse,38 West Victoria St. Santa Barbara,,2019-10
The Monarch,"1295 Coast Village Rd, Santa Barbara",,2019-10
Pizza Guru,"3534 State St, Santa Barbara",$10 - $20,2019-10
Stone Age Restaurant,"415 N. Milpas St, Santa Barbara",,2019-10
Sal's Pizza,"900 N. Milpas St, Santa Barbara",< $10,2019-09
Vicenta’s,"6920 Marketplace Dr, Goleta",,2019-09
The Honey B @ Antioch,"602 Anacapa St, Santa Barbara",,2019-09
High Sierra Grill & Bar,"521 Firestone Rd, Goleta",,2019-08
Hoffmann Brat Haus,"801 State St, Santa Barbara",< $10,2019-08
Alito’s,"509 State St, Santa Barbara",,2019-08
Ming Dynasty,"290 Storke Rd, Goleta",$10 - $20,2019-08
Gimeal Café,"5892 Hollister Ave, Goleta",,2019-08
The Little Door,"129 E. Anapamu St, Santa Barbara",,2019-07
Giovanni's - Mesa,"1905 Cliff Dr, Santa Barbara",$10 - $20,2019-07
Sweet Alley,"955 Embarcadero del Mar, Isla Vista",,2019-06
Coffee Bean - Montecito,"1209 Coast Village Rd, Santa Barbara",,2019-05
Goa Taco,"718 State St, Santa Barbara",,2019-05
Senor Frogs,"892 Linden Ave, Carpinteria",< $10,2019-05
Ca’Dario Pasta Veloce,"38 W. Victoria St, Santa Barbara",,2019-05
Smithy,"7 E. Anapamu St., Santa Barbara",,2019-05
Red Pepper Restaurant,"282 Orange Ave, Goleta",< $10,2019-04
Ike's Love & sandwiches,"6530 Seville Rd, Isla Vista",,2019-04
Jersey Mike's Subs - downtown,"1213 State St, Santa Barbara",,2019-04
Green Star Coffee,"38 W. Victoria St, Santa Barbara",,2019-03
La Bella Rosa Bakery - Goleta,"7127 Hollister Ave.#18, Goleta",,2019-03
Kahuna Grill - Goleta,"7010 Camino Real Marketplace, Goleta",< $10,2019-02
Rodney's Grill at the Hilton,"633 E. Cabrillo Blvd, Santa Barbara",$20+,2019-01
Giovanni's - Montecito,"1187 Coast Village Rd, Montecito",$10 - $20,2019-01
Your Cake Baker by Wayne Kjar,"2018 Cliff Dr, Santa Barbara",,2018-12
Spoon,"1222 State St, Santa Barbara",,2018-12
Hanamura,"901 Embarcadero del Mar, Isla Vista",,2018-12
One Piece,"6555 Pardall Rd, Isla Vista",,2018-12
Pacific Crepes,"705 Anacapa St, Santa Barbara",$10 - $20,2018-12
Big Eye Raw Bar,"38 W. Victoria St, Santa Barbara",,2018-12
Sunny Korean Restaurant,"532 State St, Santa Barbara",,2018-11
Wildwood Kitchen,"412 East Haley St, Santa Barbara",,2018-11
Santa Barbara Brewing Company,"501 State St, Santa Barbara",$10 - $20,2018-10
Pizza Mizza,"140 S. Hope Ave, Santa Barbara",$10 - $20,2018-10
Burger Barn,"3621 Sagunto St, Santa Ynez",< $10,2018-10
Basil's,"608 Anacapa St, Santa Barbara",,2018-10
Mundos,"901 N. Milpas St, Santa Barbara",,2018-09
Vons Bakery - Lacumbre Plaza,"3855 State St, Santa Barbara",,2018-09
Vons - Lacumbre Plaza,"3855 State St, Santa Barbara",,2018-09
El Pollo Rico,"5698 Hollister Ave, Goleta",< $10,2018-09
Good Cup - Mesa,"1819 Cliff Dr, Santa Barbara",,2018-09
Sly's,"686 Linden Ave, Carpinteria",$20+,2018-09
Urkeb,"413 State St, Santa Barbara",,2018-09
Pinkberry,"742 State St, Santa Barbara",,2018-09
Flagstone Pantry,"38 W. Victoria St, Santa Barbara",,2018-08
