key,Name,Address,Price,Opened,Died
Dave's Dogs - Milpas_900 North Milpas Street,Dave's Dogs - Milpas,900 North Milpas Street,NA,2019-12,NA
Flor de Maiz_29 East Cabrillo Boulevard,Flor de Maiz,29 East Cabrillo Boulevard,NA,2019-12,NA
"Yume Sushi_1134 Chapala Street, Santa Barbara",Yume Sushi,"1134 Chapala Street, Santa Barbara",NA,2019-12,NA
"Lemon & Coriander_231 Magnolia Ave, Goleta",Lemon & Coriander,"231 Magnolia Ave, Goleta",NA,2019-12,NA
"Vons Chicken_955 Embarcadero del Mar, Isla Vista",Vons Chicken,"955 Embarcadero del Mar, Isla Vista",NA,2019-11,NA
"Su’s Bowl_901 Embarcadero del Mar, Isla Vista",Su’s Bowl,"901 Embarcadero del Mar, Isla Vista",NA,2019-11,NA
"Onus Donuts_413 State Street, Santa Barbara",Onus Donuts,"413 State Street, Santa Barbara",NA,2019-11,NA
"Su's Bowl_901 Embarcadero Del Mar #100, Isla Vista",Su's Bowl,"901 Embarcadero Del Mar #100, Isla Vista",NA,2019-11,NA
"The Daisy_1221 State Street, Santa Barbara",The Daisy,"1221 State Street, Santa Barbara",NA,2019-11,NA
"Wabi Sabi Sushi Bar_38 West Victoria Street #119, Santa Barbara",Wabi Sabi Sushi Bar,"38 West Victoria Street #119, Santa Barbara",NA,2019-10,NA
"Oku_29 E. Cabrillo Blvd, Santa Barbara",Oku,"29 E. Cabrillo Blvd, Santa Barbara",NA,2019-10,NA
"Hook’d Bar & Grill_1 Lakeview Drive, Santa Barbara",Hook’d Bar & Grill,"1 Lakeview Drive, Santa Barbara",NA,2019-10,NA
"Asie Dumpling House_511 State St, Santa Barbara",Asie Dumpling House,"511 State St, Santa Barbara",NA,2019-09,NA
"Starbucks Drive-thru - N. Turnpike_4791 Calle Real, Santa Barbara",Starbucks Drive-thru - N. Turnpike,"4791 Calle Real, Santa Barbara",NA,2019-09,NA
"Eleven14 Craft House and Kitchen_1114 State St, Santa Barbara",Eleven14 Craft House and Kitchen,"1114 State St, Santa Barbara",NA,2019-09,NA
